artifact_id	filename	theorem_layer	theorem_facing_or_diagnostic	producing_module	producing_command	upstream_artifact_hashes	sha256	status_field	active_assumptions	open_hypotheses	mathematical_role	included_in_minimal_replay	included_in_downstream_replay	included_in_full_replay
A0001	artifacts/final_discharge/stage_cache/theorem_i_ii.json	I--II	theorem-facing	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	e0e6e3eeb73f1d0ebaf20b2754cba1b2ab94150a66889578fd007592bf2fee3e	golden-theorem-i-ii-workstream-lift-conditional-strong	see artifact payload	see artifact payload	Cached theorem-facing workstream package consumed by downstream replay	no	yes	yes
A0002	artifacts/final_discharge/stage_cache/theorem_iii.json	III	theorem-facing	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	b114419bab8177ec458936d0ce0f0f644ce0276f3e7f87ecfac1e193db5ffb18		see artifact payload	see artifact payload	Cached theorem-facing lower-corridor package consumed by downstream replay	no	yes	yes
A0003	artifacts/final_discharge/stage_cache/theorem_iv.json	IV	theorem-facing	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	d02b8a13369fa708a596f95f406eba053b7b56be017f3c001f546d73a139a322	see-large-artifact-payload	see artifact payload	see artifact payload	Cached theorem-facing upper-obstruction package consumed by downstream replay	no	yes	yes
A0004	artifacts/final_discharge/stage_cache/theorem_iv_lower_neighborhood.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	aec22713beeabc3969085077be7257c38c74dd4ceb419abc29656cdd82b8e8d8	golden-lower-neighborhood-stability-moderate	see artifact payload	see artifact payload	Cached IV artifact or support record	no	cache/provenance	yes
A0005	artifacts/final_discharge/stage_cache/theorem_iv_upper_bridge.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	c1a6821a0c321cdc82c17c7b17ab21e8420104e4c18c3c9f82477a6f4d9c9df4	see-large-artifact-payload	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0006	artifacts/final_discharge/stage_cache/theorem_iv_upper_bridge_profile.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	1809f80b015d4e99b151a2e9afa98eaa42ec16a0c075a3c04ddf2e2d201db923	see-large-artifact-payload	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0007	artifacts/final_discharge/stage_cache/theorem_iv_upper_bridge_promotion.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	4c02c7292bf216a4839e03b3407bfb092d7504744aac6221c9130f76098b211a	golden-incompatibility-theorem-bridge-strong	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0008	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0_goldm1321.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	bedffe784787463a5cda5e4e1aaf74b2b77bcc554bd868c16f22a3a6947d1959	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0009	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0_goldm2134.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	d07277c06728ac6ebb4f8509c6e2fbac0514bd3b108b6a30e094438fa26d7f20	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
A0010	artifacts/final_discharge/stage_cache/theorem_iv_upper_shift_0_goldm3455.json	IV	support/cache	archival theorem generation stack; see manuscript and release log	scripts/replay_full.py after heavy Theorem-IV regeneration is wired, or archived cache in this release	see HASHES.sha256 and release log	68ce610ea8150f932d3a4dbff810d15b0fd07c7e1a233a20af061ba533feaf26	adaptive-crossing-plus-band	see artifact payload	see artifact payload	Theorem-IV support/cache artifact for obstruction-side audit	no	cache/provenance	yes
